xa2,xb2,y,Aug,Dec,Apr,Nov,Sep,May,Mar,Jul,Jun,Jan,Feb,Oct,Sat,Tue,Wed,Mon,Thu,Fri,Sun
0.02819419,-0.824161,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.9565364,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.5986244,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,-0.2262748,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.02819419,-0.4699551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.7457711,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.02819419,-1.104484,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.7682027,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,-0.08002249,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.1355504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.02819419,-0.4096418,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.322514,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,0.5719853,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.02819419,0.2093535,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.02819419,0.1361273,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.02819419,0.2497912,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.02819419,0.4163982,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.02819419,0.2839591,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.02819419,0.2124947,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.02819419,-0.4091415,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.02819419,-0.1408447,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.02819419,-0.3108042,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.02819419,0.5947266,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
