xa120,xb120,y,May,Apr,Aug,Nov,Jul,Jun,Feb,Jan,Mar,Dec,Sep,Oct,Tue,Wed,Sat,Fri,Thu,Sun,Mon
0.2237044,-0.4180451,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.2237044,-0.4697857,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2237044,-0.4959462,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.2237044,-0.5130776,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2237044,-0.5140646,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2237044,-0.5061372,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.2237044,-0.4884039,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.2237044,-0.4792284,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.2237044,-0.4869235,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.2237044,-0.4630572,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2237044,-0.4427497,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.2237044,-0.4342895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2237044,-0.4319885,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.2237044,-0.431528,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2237044,-0.4368788,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.2237044,-0.4479411,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.2237044,-0.4333008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2237044,-0.4232556,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.2237044,-0.4359277,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.2237044,-0.4705371,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.2237044,-0.4942935,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2237044,-0.5100039,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.2237044,-0.5263383,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2237044,-0.5426744,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.2237044,-0.5339358,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
