xa60,xb60,y,Apr,Mar,Sep,Oct,Jun,May,Aug,Feb,Dec,Nov,Jul,Jan,Tue,Thu,Mon,Wed,Fri,Sat,Sun
0.1383195,-0.1740762,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.06051335,-0.2011267,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1499161,-0.237312,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.1150474,-0.264396,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.1609358,-0.2648491,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-0.02542134,-0.2718215,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1093095,-0.3108374,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.3422038,-0.3629265,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.2835696,-0.4256533,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.115419,-0.5487002,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.07861854,-0.6447672,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-0.1032454,-0.6859354,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-0.1333615,-0.7077351,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.193904,-0.7041148,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.2295462,-0.6925056,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.1912803,-0.6650331,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.2213795,-0.6443645,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.2432985,-0.6490501,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.220506,-0.61734,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.2840006,-0.5765302,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-0.215149,-0.5581808,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
-0.2614118,-0.5350759,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.3407353,-0.5263051,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.1948568,-0.5227458,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.1700925,-0.5314536,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
-0.1783157,-0.4936722,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-0.3034947,-0.4659689,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.4586105,-0.4814622,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
-0.3379982,-0.5402609,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.1456767,-0.5788544,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.03849428,-0.6088852,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.04524588,-0.6190738,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.07887547,-0.6250921,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0730652,-0.6175694,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.0454025,-0.5802753,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.0302005,-0.584933,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.08072911,-0.6177693,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.07232993,-0.6361476,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1463079,-0.6261801,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.1377301,-0.6427174,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2184556,-0.6577392,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.2752317,-0.6757988,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.1613986,-0.6915926,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.2074506,-0.7076369,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.2104234,-0.7160988,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2138161,-0.7437162,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.2575842,-0.7838975,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2306244,-0.8127024,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.04518274,-0.846594,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.07608278,-0.8524791,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1167596,-0.8589545,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.1076771,-0.8630907,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.121521,-0.8791726,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.171956,-0.8788593,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.144279,-0.8879936,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.1973289,-0.9078979,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.161659,-0.9115745,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1939215,-0.9005792,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.1457662,-0.8615236,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.04296761,-0.8406637,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
-0.007521921,-0.8035956,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.04744471,-0.808173,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.1398453,-0.7936055,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.0711903,-0.7911791,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.07742185,-0.7863703,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.03602503,-0.7992313,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0.007010053,-0.8136163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.00968534,-0.7851846,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1173265,-0.760717,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.08400535,-0.7652431,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.09455093,-0.7937026,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1875297,-0.8310333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1233782,-0.8418604,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.0819907,-0.8186859,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.1225788,-0.8152117,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.06173094,-0.8140346,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.05109347,-0.804054,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.03834674,-0.7416414,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.06775062,-0.7535136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.167648,-0.7701609,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1507717,-0.7894332,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.06836667,-0.7933261,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.04298405,-0.769879,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.1490513,-0.7831399,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1808339,-0.7515917,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0.2052666,-0.7471455,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.1262296,-0.7307243,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1475272,-0.6820029,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1964,-0.6661991,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1749032,-0.6389988,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.1581927,-0.641592,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.1233412,-0.6096937,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1602543,-0.5562228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1865698,-0.5347657,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1843573,-0.5434201,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.215835,-0.5528916,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
