xa1,xb1,y,Oct,Nov,Jun,Sep,Aug,Jul,Apr,Jan,May,Dec,Mar,Feb,Tue,Thu,Sat,Sun,Mon,Fri,Wed
0.9977624,6.97972e+007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.005141,6.56177e+007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9981217,9.16526e+007,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.007803,9.458e+007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.000786,1.005527e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.997695,1.721133e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.002496,2.58429e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.010602,1.067721e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1.004504,1.097949e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.022057,1.091221e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.9988984,8.89393e+007,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.9954229,1.033308e+008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9939814,1.227818e+008,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9927546,6.12725e+007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.000047,1.406232e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9970446,7.72202e+007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.9973332,7.57055e+007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9979923,6.65423e+007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.9966494,6.01466e+007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.004253,8.90891e+007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.000468,7.36398e+007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.9981333,6.65192e+007,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.002667,7.68697e+007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.006262,5.82757e+007,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9965278,9.33462e+007,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.000516,1.01357e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9967245,7.38661e+007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.001312,1.303674e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.9873704,5.1855e+007,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.005208,8.97883e+007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.9965706,6.29274e+007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.000696,7.2816e+007,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1.004425,1.199481e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9949022,8.35121e+007,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.9975959,1.172029e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.007546,1.280706e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.9909527,8.7411e+007,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.004964,7.84948e+007,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.006208,8.98273e+007,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.9918978,7.36309e+007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9945207,7.66787e+007,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.006301,1.102844e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1.011245,6.96653e+007,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1.000047,8.02505e+007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.000188,1.552364e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
