xa3,xb3,y,Jan,Sep,Aug,Jun,Jul,May,Oct,Mar,Feb,Dec,Nov,Apr,Sat,Sun,Thu,Mon,Tue,Fri,Wed
0.9998604,5.574239e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1.007263,6.347746e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.003527,6.207449e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.01489,5.690558e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9993799,6.275094e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.005998,7.027952e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.9928068,8.445049e+008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1.0021,9.01412e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.013646,9.835802e+008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1.017028,1.344537e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.018036,1.564616e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9820901,1.070644e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9640909,5.64606e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.013023,4.912957e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9983689,5.103479e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.002839,6.662794e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.00644,7.918352e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9962759,7.51499e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.002984,7.111781e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0.9986061,7.172014e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.9980331,6.507769e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.9922882,5.1519e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.9905225,4.070613e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9986345,3.801532e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.00326,4.183677e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.001561,4.9809e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1.005088,4.625845e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.9970129,4.457774e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1.003044,5.288396e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.002049,4.530265e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9980974,3.611215e+008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.004299,4.339634e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.000287,4.925388e+008,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.006783,4.681138e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.012962,5.477669e+008,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9986374,6.763344e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.006317,7.059722e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.996535,6.623857e+008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1.000293,5.587848e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.9906664,5.339837e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1.009865,5.434351e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.9912858,5.018258e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.000291,4.702455e+008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9906453,4.61854e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.012434,4.677237e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.000826,4.626712e+008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.003659,5.132373e+008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.9998049,5.504781e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.9944218,5.315231e+008,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9912968,6.488645e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.007948,6.538262e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9946011,5.022848e+008,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.9909242,4.484179e+008,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.002058,4.494796e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.001486,5.157831e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9982773,5.366887e+008,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,5.03007e+008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.9946216,5.024266e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1.000953,4.782269e+008,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
