xa3,xb3,y,May,Aug,Jul,Jan,Apr,Dec,Mar,Feb,Sep,Oct,Jun,Nov,Mon,Sun,Sat,Wed,Thu,Fri,Tue
-0.003883435,-0.1406841,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.05564522,-0.6169908,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.1934632,-0.5690615,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.3335106,-0.4711618,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.0203445,-0.7152407,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
-0.1731025,-0.8151061,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.1067621,-0.6220219,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.02118259,-0.5718154,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.05575808,-0.6780267,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.01054775,-0.5854869,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.03222841,-0.3595288,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.1941015,-0.2420219,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.3258043,-0.3746218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.1153317,-0.6545329,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-0.2263371,-0.8300329,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
-0.1107647,-0.9375126,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.0172908,-1.000491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.06985205,-0.8556438,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0.03906356,-0.6537417,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.04710922,-0.6716235,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.2220125,-0.775338,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.01834968,-0.6163669,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.1321713,-0.284968,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.2954425,-0.01036897,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.3333225,0.2349038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.07053484,0.2680826,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-0.3824432,-0.1327973,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.1797128,-0.4328035,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
-0.04291434,-0.1485016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.004129963,0.4067592,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.2217978,0.5420913,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.07746386,-0.1106257,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
-0.4846368,-0.6637799,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0.02180184,-0.7937344,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.04765261,-0.9894704,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.1505588,-0.9428663,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.04369878,-0.398943,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.151305,0.06407265,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.08174379,-0.1545628,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2798962,-0.5601776,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.06585798,-0.4474464,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.1593127,-0.3242545,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-0.07799781,-0.5770051,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-0.1601165,-0.5038053,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1050096,-0.4620421,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0.3187426,-0.6464456,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
