xa10,xb10,y,Dec,Aug,Jan,Sep,Nov,Feb,Mar,Jun,Apr,Jul,May,Oct,Fri,Mon,Tue,Sat,Thu,Sun,Wed
0.06314468,-1.080864,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.06314468,-1.024585,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.06314468,-0.9587781,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.06314468,-0.8789046,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.06314468,-0.7724353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.06314468,-0.5980289,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.06314468,-0.4910718,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.06314468,-0.4637349,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.06314468,-0.4006233,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.06314468,-0.483971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.06314468,-0.6498813,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.06314468,-0.7244897,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.06314468,-0.6528394,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.06314468,-0.6422651,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.06314468,-0.7375848,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06314468,-0.8053828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06314468,-0.717986,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.06314468,-0.6946013,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.06314468,-0.652902,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.06314468,-0.6295964,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.06314468,-0.5702585,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0.06314468,-0.626975,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.06314468,-0.6266813,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.06314468,-0.4747802,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.06314468,-0.355491,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.06314468,-0.4567119,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.06314468,-0.6784195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.06314468,-0.7138279,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.06314468,-0.6249341,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.06314468,-0.5689598,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
