xa40,xb40,y,Nov,Jul,Mar,Aug,Oct,Apr,Jun,Feb,Sep,Jan,Dec,May,Sun,Tue,Fri,Wed,Sat,Thu,Mon
1,6.061792e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5.862422e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5.782246e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5.797576e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,5.718443e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5.698408e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5.743498e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,5.845308e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5.954195e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5.952146e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,5.966359e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5.929338e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,5.859093e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,5.926244e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,5.972543e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,6.053756e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,6.043054e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,6.047896e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5.945154e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5.808076e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,5.809427e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,5.881881e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5.977313e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5.975916e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5.970589e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,5.953146e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,6.055135e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,6.185915e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,6.207971e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6.231271e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6.3051e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,6.215629e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,6.174818e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,6.142594e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,6.176123e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,6.302894e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6.477093e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,6.811838e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6.963152e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,7.273633e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,7.399402e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,7.38666e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,7.385129e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,7.254725e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,7.213015e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,7.20848e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,7.346562e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,7.216344e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,7.098222e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,7.142763e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,7.074445e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,7.042813e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,6.930745e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,6.796677e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,6.781748e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,6.893503e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,7.14287e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,7.198225e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7.287209e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,7.349587e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,7.417883e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,7.672488e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,7.82483e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,8.089551e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,8.495851e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,8.833318e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,8.593521e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,8.265301e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,8.040461e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,8.073813e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,7.944587e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,7.813668e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,7.687317e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7.638995e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,7.563125e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,7.425628e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,7.146595e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,7.123193e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,7.129081e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,7.06458e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,7.025805e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7.040591e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,7.107302e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,7.190302e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7.342444e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7.328527e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,7.254737e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7.262794e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7.304891e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,7.42051e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,7.490159e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,7.672845e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7.631479e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,7.76311e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,7.783936e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,7.735963e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,7.675853e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,7.630568e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,7.805919e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,7.957416e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
