xa20,xb20,y,Feb,Aug,Jul,Apr,Jan,Jun,Nov,May,Dec,Mar,Oct,Sep,Sat,Thu,Sun,Tue,Fri,Wed,Mon
0.08947877,-0.6842323,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.08947877,-0.688094,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.08947877,-0.6499649,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.08947877,-0.6677923,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.08947877,-0.6624271,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.08947877,-0.6107841,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.08947877,-0.5466183,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.08947877,-0.5703677,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.08947877,-0.6803163,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.08947877,-0.6933656,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.08947877,-0.6273323,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.08947877,-0.5623497,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.08947877,-0.5959231,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.08947877,-0.6355416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.08947877,-0.607527,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.08947877,-0.4709786,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.08947877,-0.3256062,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0.08947877,-0.3072011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.08947877,-0.2749102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.08947877,-0.1768503,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.08947877,-0.007156743,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.08947877,0.06462461,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.08947877,0.1216423,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.08947877,0.114801,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.08947877,0.1677691,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.08947877,0.1269938,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
