xa60,xb60,y,Nov,Aug,Jul,Sep,Apr,Jan,Dec,Mar,Oct,Jun,May,Feb,Sat,Wed,Tue,Fri,Mon,Sun,Thu
1.015154,1.043374e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1.022465,1.04181e+010,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1.017743,1.048506e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.027213,1.061696e+010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.030746,1.064413e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.03324,1.06734e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.033284,1.07765e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.035251,1.107899e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.036496,1.125875e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1.046758,1.131004e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.046789,1.137281e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.053839,1.145646e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.0392,1.139444e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.035551,1.139667e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.032312,1.136601e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.029925,1.148019e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.038137,1.159974e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.045722,1.175409e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.036826,1.208032e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.038998,1.216261e+010,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1.036031,1.249557e+010,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.032928,1.264018e+010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.025193,1.263272e+010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.021984,1.264534e+010,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1.015412,1.25011e+010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.012276,1.247809e+010,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
