xa20,xb20,y,May,Nov,Aug,Sep,Mar,Apr,Feb,Jul,Dec,Jun,Oct,Jan,Thu,Sun,Fri,Mon,Wed,Sat,Tue
1,4.66504e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,4.448223e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.459624e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4.342311e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,4.217617e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4.08461e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,4.022662e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,3.906161e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,3.678466e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.368643e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.334174e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.322638e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.270771e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.225115e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,3.195235e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1,3.283933e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,3.381262e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,3.478721e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.502488e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.552943e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.484943e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3.468724e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,3.471875e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,3.556361e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3.765823e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,3.790537e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.904147e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.967751e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,3.911729e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,3.86921e+009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.819965e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,3.932956e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,4.104317e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,4.178567e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4.266625e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,4.390966e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,4.714252e+009,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,5.043319e+009,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5.092101e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,5.226155e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5.251486e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,5.20909e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,4.688115e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4.23772e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,3.948957e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3.88612e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,3.905528e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.636938e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,3.524256e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.426366e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,3.411983e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,3.243287e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,2.922834e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.807462e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.762346e+009,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.763975e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.678128e+009,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.6182e+009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,2.534135e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,2.543141e+009,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,2.546186e+009,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.539695e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1,2.491198e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.432451e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.446867e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,2.508882e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.550935e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2.601572e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.729105e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.793376e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.814517e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,2.817053e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.853706e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.852402e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.803503e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.794039e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.887199e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2.932568e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.995907e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,3.122007e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.3398e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,3.588595e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
