xa5,xb5,y,Sep,Feb,Apr,Jul,Oct,Jun,May,Aug,Dec,Jan,Nov,Mar,Thu,Wed,Sun,Mon,Fri,Tue,Sat
-0.4664395,-0.2208003,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0326532,-0.121883,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
-0.03479426,0.1757353,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0.005736948,0.6196201,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.2229524,0.867017,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.1416972,0.2548809,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.2905014,-0.3739515,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.007309804,-0.5867642,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.2120064,-0.3895322,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.2890211,-0.1229105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.03669847,0.07945421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.1291722,0.08640608,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1472072,0.3011495,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.2308305,0.4861435,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.5428393,0.5668365,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.2662961,0.7970019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.05225624,0.8426024,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.4192619,0.980909,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.5618933,1.701967,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.1244793,2.819681,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
