xa250,xb250,y,Mar,Sep,Oct,Nov,May,Jun,Apr,Feb,Jan,Jul,Aug,Dec,Fri,Thu,Sun,Sat,Tue,Wed,Mon
-2.9341,-0.1646588,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.2219898,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-2.9341,-0.286604,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-2.9341,-0.3408402,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-0.3740814,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
-2.9341,-0.3945367,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.394404,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-0.3941421,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-0.4080043,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
-2.9341,-0.4281228,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-2.9341,-0.4431902,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.4588463,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-0.4640747,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.4723736,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-0.4762442,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.4713236,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-0.4663813,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
-2.9341,-0.4750743,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
-2.9341,-0.4929814,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-0.5077363,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-0.5394936,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
-2.9341,-0.561877,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.5677031,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-2.9341,-0.5694174,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-0.5619644,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-0.5509584,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
-2.9341,-0.5362402,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.5252942,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-2.9341,-0.5214724,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.5017063,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.4836308,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
-2.9341,-0.4686061,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-2.9341,-0.4588511,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.4493885,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-2.9341,-0.4422854,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-2.9341,-0.4418532,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-2.9341,-0.4257667,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-2.9341,-0.4128989,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-2.9341,-0.4143125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3996386,-0.4245184,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0.318695,-0.4351856,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.262087,-0.4415712,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2799576,-0.449295,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.3359914,-0.4584515,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.3221898,-0.4518769,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0.388361,-0.4396402,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.4411901,-0.4445368,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0.489777,-0.4568271,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
