xa10,xb10,y,Jan,Dec,Mar,Feb,Apr,May,Sep,Jun,Aug,Jul,Nov,Oct,Tue,Mon,Thu,Sun,Fri,Sat,Wed
1,1.576067e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1.713045e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.001813e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.210297e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2.535834e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.886753e+009,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3.171521e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.938487e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2.591524e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.386963e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,2.395541e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.274385e+009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.14879e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.030565e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1,2.004922e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1.895628e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1.738689e+009,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1.613428e+009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1.555365e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
