xa5,xb5,y,Nov,Oct,Aug,Feb,Jul,Dec,May,Apr,Sep,Jun,Mar,Jan,Mon,Sun,Tue,Wed,Fri,Thu,Sat
1.007027,9.712046e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.9988943,1.07818e+009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.000048,1.081358e+009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1.010101,1.066343e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.009313,1.107657e+009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9976528,1.066798e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1.002697,1.029445e+009,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0.9880341,9.682455e+008,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.010921,1.023381e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0.9900121,1.050757e+009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0.996762,9.91891e+008,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1.006812,9.345489e+008,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.9975731,8.645411e+008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.004388,8.77168e+008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.00925,9.075714e+008,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.000591,1.001632e+009,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
0.9995571,1.076198e+009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.9934005,1.267602e+009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.9994625,1.376933e+009,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1.001419,1.318371e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1.00393,1.180053e+009,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1.006344,1.136026e+009,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.005787,1.274342e+009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
