xa250,xb250,y,Jun,Dec,Apr,Jul,Nov,Jan,Sep,Mar,Aug,Oct,May,Feb,Thu,Mon,Sat,Wed,Sun,Fri,Tue
0,2.929962e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2.953819e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2.963263e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2.985716e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,3.023544e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,3.053947e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,3.082395e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,3.098939e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,3.115508e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3.120252e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.13113e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,3.152498e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,3.175268e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,3.192837e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,3.208017e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3.220335e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,3.223547e+010,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.225406e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,3.239615e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,3.259971e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
