xa120,xb120,y,Nov,Jul,Oct,Feb,Dec,Jun,Aug,Jan,Apr,May,Sep,Mar,Thu,Fri,Sat,Sun,Wed,Mon,Tue
0,1.87725e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.8832e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,1.888187e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.883447e+010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.878803e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,1.884603e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,1.897951e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1.918828e+010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1.927373e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,1.939634e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1.960081e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1.997716e+010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0,2.028729e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2.039043e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0,2.054298e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0,2.068956e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,2.070036e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,2.082254e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0,2.087539e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,2.110677e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2.13544e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2.159616e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,2.200088e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,2.2173e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.250278e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2.264573e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1,2.265247e+010,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.267488e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,2.255363e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2.260386e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,2.268065e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,2.290235e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,2.294867e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.291674e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,2.311194e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.301904e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,2.287862e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,2.279755e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2.270567e+010,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,2.278074e+010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1,2.299452e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.327108e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.331857e+010,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,2.345285e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.348302e+010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.345652e+010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.367872e+010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2.376442e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,2.400834e+010,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2.445489e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2.486235e+010,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,2.465231e+010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.43882e+010,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2.425234e+010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
